transaction_id,user_id,timestamp,amount,merchant_category,merchant_name,location,payment_method,user_risk_score,is_fraud
TXN-000001,33,2026-03-07 10:35:08.244536,34.35,supermarket,Banco Monreal y asociados S.A.T.,Girona,transfer,0.19,False
TXN-000002,35,2026-02-11 11:04:08.244536,199.97,online_shopping,Grupo Villa S.A.,Ourense,credit_card,0.16,False
TXN-000003,11,2026-03-13 16:25:08.244536,49.9,utilities,Distribuciones Globales S.L.,Cantabria,debit_card,0.19,False
TXN-000004,4,2026-04-04 11:57:08.244536,30.54,online_shopping,Murcia & Asociados S.Coop.,Cantabria,debit_card,0.13,False
TXN-000005,19,2026-04-27 13:52:08.244536,120.58,utilities,Gimeno y asociados S.L.,Huesca,transfer,0.17,False
TXN-000006,42,2026-02-15 22:00:08.244536,135.82,restaurant,Hnos Pina S.L.N.E,Granada,transfer,0.17,False
TXN-000007,5,2026-02-20 20:03:08.244536,187.12,supermarket,Minería Figueroa y asociados S.L.N.E,Salamanca,credit_card,0.23,False
TXN-000008,0,2026-04-09 22:53:08.244536,102.41,gas_station,Familia Rosado S.A.,Madrid,debit_card,0.18,False
TXN-000009,32,2026-03-23 22:19:08.244536,184.61,restaurant,Transportes Iberia S.L.L.,Lleida,credit_card,0.2,False
TXN-000010,44,2026-04-12 19:19:08.244536,146.01,utilities,Soluciones LWTL S.L.,Ciudad,transfer,0.14,False
TXN-000011,29,2026-05-02 23:16:08.244536,128.03,utilities,Desarrollo Morell S.A.,Álava,credit_card,0.13,False
TXN-000012,15,2026-05-05 02:26:08.244536,65.89,restaurant,Reyes & Asociados S.Com.,Granada,transfer,0.16,False
TXN-000013,23,2026-03-21 03:29:08.244536,152.03,supermarket,Hnos Tejero S.Com.,Barcelona,credit_card,0.24,False
TXN-000014,19,2026-03-02 09:12:08.244536,184.28,restaurant,Banco Laguna S.L.,Huesca,transfer,0.1,False
TXN-000015,25,2026-04-10 23:27:08.244536,96.22,supermarket,Amaya Martorell Arana S.Com.,Lugo,transfer,0.2,False
TXN-000016,22,2026-03-01 09:15:08.244536,99.85,supermarket,Leyre Gual Ropero S.L.L.,León,debit_card,0.05,False
TXN-000017,21,2026-04-21 18:15:08.244536,180.17,restaurant,Juan Pablo Gelabert Ávila S.L.,Cuenca,debit_card,0.28,False
TXN-000018,34,2026-03-10 07:48:08.244536,218.82,utilities,Manufacturas VX S.Coop.,Vizcaya,debit_card,0.05,False
TXN-000019,5,2026-03-23 05:43:08.244536,170.61,supermarket,Quiroga y Porras S.C.P,Salamanca,debit_card,0.2,False
TXN-000020,29,2026-03-14 09:20:08.244536,104.25,utilities,Sotelo y asociados S.Com.,Álava,transfer,0.2,False
TXN-000021,1,2026-02-28 06:03:08.244536,68.09,gas_station,Inmobiliaria Corominas & Asociados S.A.,Baleares,transfer,0.17,False
TXN-000022,17,2026-03-08 19:44:08.244536,72.45,restaurant,Grau y Checa S.L.L.,Santa Cruz de Tenerife,debit_card,0.27,False
TXN-000023,44,2026-04-07 01:21:08.244536,148.4,gas_station,Hnos Casals S.Coop.,Ciudad,debit_card,0.12,False
TXN-000024,30,2026-03-02 14:18:08.244536,96.33,online_shopping,Ulises Figueras Mendoza S.L.N.E,Albacete,debit_card,0.23,False
TXN-000025,25,2026-03-18 17:25:08.244536,105.45,gas_station,Nazaret Pinto Borja S.Com.,Lugo,transfer,0.25,False
TXN-000026,0,2026-03-08 17:11:08.244536,244.58,utilities,Barros y asociados S.L.,Madrid,transfer,0.12,False
TXN-000027,7,2026-02-28 05:10:08.244536,36.86,online_shopping,Manufacturas QXHQ S.Coop.,Ourense,debit_card,0.19,False
TXN-000028,25,2026-04-23 10:20:08.244536,136.11,gas_station,Ojeda y asociados S.Com.,Lugo,transfer,0.08,False
TXN-000029,11,2026-03-08 02:45:08.244536,29.93,online_shopping,Cortés & Asociados S.Coop.,Cantabria,credit_card,0.25,False
TXN-000030,19,2026-02-22 10:29:08.244536,162.96,utilities,Palau & Asociados S.L.L.,Huesca,credit_card,0.2,False
TXN-000031,30,2026-04-11 04:09:08.244536,132.02,gas_station,Tecnologías Iborra y asociados S.A.,Albacete,credit_card,0.1,False
TXN-000032,45,2026-03-21 12:44:08.244536,7.03,restaurant,Grupo Linares S.Com.,Málaga,transfer,0.12,False
